DATE,INDEX_ID,PRICE,TOTAL_RETURN,DIV_YLD,DIV_PAYOUT,PE,CAPE5,CAPE10,PS,PB,PCF
31/01/1970,,96.743,96.867,0.022,0.6666,30.3,,,,,18.1
28/02/1970,,95.515,95.749,0.02,0.568,28.4,,,,,17.2
31/03/1970,,95.075,95.425,0.021,0.5838,27.8,,,,,16.8
30/04/1970,,84.313,84.742,0.024,0.6024,25.1,,,,,15.1
31/05/1970,,78.733,79.248,0.025,0.58,23.2,,,,,14
30/06/1970,,88.785,89.487,0.023,0.5911,25.7,,,,,15.6
31/07/1970,,91.499,92.34,0.022,0.5478,24.9,,,,,14.9
31/08/1970,,90.662,91.624,0.024,0.5736,23.9,,,,,14.5
30/09/1970,,90.656,91.746,0.024,0.564,23.5,,,,,14
31/10/1970,,82.215,83.334,0.027,0.567,21,,,,,12.6
30/11/1970,,78.062,79.254,0.028,0.5572,19.9,,,,,12
31/12/1970,,78.896,80.231,0.028,0.5684,20.3,,,,,12.4
31/01/1971,,76.975,78.415,0.03,0.597,19.9,,,,,12.1
28/02/1971,,75.4,76.949,0.031,0.5828,18.8,,,,,11.7
31/03/1971,,79.422,81.19,0.029,0.5742,19.8,,,,,12.3
30/04/1971,,76.395,78.233,0.03,0.567,18.9,,,,,11.7
31/05/1971,,74.116,76.036,0.03,0.555,18.5,,,,,11.4
30/06/1971,,74.664,76.737,0.031,0.5797,18.7,,,,,11.4
31/07/1971,,71.551,73.668,0.03,0.567,18.9,,,,,11.3
31/08/1971,,67.337,69.485,0.031,0.5487,17.7,,,,,10.6
30/09/1971,,60.3,62.334,0.037,0.6031,16.3,,,,,9.3
31/10/1971,,60.447,62.614,0.035,0.5705,16.3,,,,,9.4
30/11/1971,,59.408,61.668,0.036,0.576,16,,,,,9.2
31/12/1971,,70.708,73.551,0.03,0.57,19,,,,,11
31/01/1972,,68.367,71.265,0.031,0.5704,18.4,,,,,10.6
29/02/1972,,75.249,78.561,0.027,0.5157,19.1,,,,,12.4
31/03/1972,,77.627,81.172,0.027,0.5616,20.8,,,,,11.6
30/04/1972,,76.005,79.606,0.029,0.5945,20.5,,,,,11.2
31/05/1972,,79.188,83.057,0.028,0.5824,20.8,,,,,12
30/06/1972,,81.21,85.313,0.027,0.5751,21.3,,,,,12.4
31/07/1972,,76.512,80.513,0.029,0.5916,20.4,,,,,11.2
31/08/1972,,76.872,81.028,0.029,0.5858,20.2,,,,,11.2
30/09/1972,,74.322,78.441,0.029,0.5771,19.9,,,,,13.4
31/10/1972,,78.749,83.244,0.027,0.5589,20.7,,,,,14.1
30/11/1972,,81.133,85.894,0.026,0.5538,21.3,,,,,14.7
31/12/1972,,79.335,84.082,0.027,0.5616,20.8,,,,,11.8
31/01/1973,,81.839,86.872,0.027,0.5805,21.5,,,,,12.2
28/02/1973,,73.002,77.638,0.03,0.561,18.7,,,,,10.6
31/03/1973,,72.969,77.738,0.03,0.549,18.3,,,,,10.4
30/04/1973,,67.964,72.546,0.033,0.5643,17.1,,,,,9.8
31/05/1973,,73.582,78.706,0.031,0.5673,18.3,,,,,10.5
30/06/1973,,71.659,76.797,0.032,0.5632,17.6,,,,,10
31/07/1973,,72.664,78.031,0.032,0.5696,17.8,,,,,9.9
31/08/1973,,64.702,69.587,0.036,0.558,15.5,,,,,8.6
30/09/1973,,59.56,64.178,0.04,0.532,13.3,,,,,7.5
31/10/1973,,63,68.037,0.041,0.5699,13.9,,,,,7.9
30/11/1973,,57.329,62.148,0.045,0.5535,12.3,,,,,7
31/12/1973,,56.467,61.326,0.047,0.5593,11.9,,,,,6.8
31/01/1974,,63.926,69.575,0.042,0.5712,13.6,,,,,7.8
28/02/1974,,69.434,75.778,0.039,0.5187,13.3,,,,,7.9
31/03/1974,,65.152,71.31,0.042,0.5208,12.4,,,,,7.3
30/04/1974,,62.507,68.549,0.046,0.5382,11.7,,,,,6.9
31/05/1974,,53.268,58.644,0.054,0.54,10,,,,,5.9
30/06/1974,,49.853,55.07,0.058,0.5336,9.2,,,,,5.6
31/07/1974,,41.858,46.424,0.069,0.5382,7.8,,,,,4.6
31/08/1974,,40.871,45.487,0.071,0.5396,7.6,,,,,4.5
30/09/1974,,32.634,36.53,0.092,0.552,6,,,,,3.7
31/10/1974,,40.711,45.766,0.073,0.5548,7.6,,,,,4.6
30/11/1974,,42.209,47.646,0.071,0.5538,7.8,,,,,4.7
31/12/1974,,40.35,45.76,0.08,0.512,6.4,,,,0.83,4
31/01/1975,,48.304,54.97,0.066,0.5082,7.7,,,,0.96,4.7
28/02/1975,,48.097,54.946,0.064,0.512,8,,,,0.94,4.9
31/03/1975,,47.001,53.919,0.065,0.5395,8.3,,,,0.93,4.9
30/04/1975,,46.806,53.865,0.066,0.5478,8.3,,,,0.92,4.8
31/05/1975,,51.352,59.288,0.06,0.552,9.2,,,,1,5.3
30/06/1975,,50.397,58.431,0.063,0.5733,9.1,,,,0.98,5.2
31/07/1975,,49.455,57.567,0.064,0.5568,8.7,,,,0.96,4.9
31/08/1975,,49.052,57.329,0.063,0.5733,9.1,,,,0.96,5.1
30/09/1975,,53.097,62.237,0.056,0.5824,10.4,,,,1.03,5.6
31/10/1975,,53.943,63.41,0.056,0.5936,10.6,,,,1.03,5.8
30/11/1975,,57.898,68.257,0.052,0.5772,11.1,,,,1.09,6.1
31/12/1975,,59.725,70.648,0.051,0.5865,11.5,,,,1.12,6.4
31/01/1976,,60.426,71.686,0.05,0.575,11.5,,,,1.12,6.4
29/02/1976,,61.193,72.786,0.045,0.549,12.2,,,,1.12,6.6
31/03/1976,,60.141,71.718,0.046,0.5566,12.1,,,,1.1,6.5
30/04/1976,,61.939,74.047,0.045,0.5715,12.7,,,,1.12,6.7
31/05/1976,,62.998,75.552,0.044,0.5588,12.7,,,,1.14,6.8
30/06/1976,,63.288,76.095,0.044,0.5544,12.6,,,,1.15,6.7
31/07/1976,,69.161,83.345,0.041,0.5781,14.1,,,,1.25,7.4
31/08/1976,,68.668,82.908,0.041,0.5576,13.6,,,,1.24,7.2
30/09/1976,,63.348,76.7,0.044,0.5412,12.3,,,,1.12,6.4
31/10/1976,,59.957,72.823,0.046,0.5428,11.8,,,,1.07,6.2
30/11/1976,,57.189,69.656,0.049,0.5439,11.1,,,,1,5.9
31/12/1976,,59.246,72.289,0.047,0.5358,11.4,,,,1.04,6.1
31/01/1977,,60.262,73.807,0.048,0.5472,11.4,,,,1.05,6.2
28/02/1977,,57.746,70.889,0.051,0.5304,10.4,,,,1,5.7
31/03/1977,,60.548,74.592,0.049,0.5243,10.7,,,,1.05,5.8
30/04/1977,,59.62,73.59,0.05,0.515,10.3,,,,1.03,5.7
31/05/1977,,62.156,76.994,0.048,0.5088,10.6,,,,1.07,5.9
30/06/1977,,61.282,76.073,0.048,0.4992,10.4,,,,1.05,5.7
31/07/1977,,57.3,71.353,0.052,0.5096,9.8,,,,0.97,5.3
31/08/1977,,55.178,68.957,0.056,0.504,9,,,,0.94,4.9
30/09/1977,,54.96,68.921,0.057,0.5073,8.9,,,,0.93,4.8
31/10/1977,,57.669,72.551,0.055,0.5115,9.3,,,,0.96,5
30/11/1977,,55.925,70.594,0.058,0.5162,8.9,,,,0.91,4.8
31/12/1977,,60.027,76.003,0.054,0.5022,9.3,,,,0.98,5.1
31/01/1978,,57.124,72.592,0.057,0.5073,8.9,,,,0.93,4.9
28/02/1978,,53.861,68.68,0.061,0.5002,8.2,,,,0.87,4.6
31/03/1978,,56.403,72.161,0.057,0.5187,9.1,,,,0.91,4.9
30/04/1978,,60.303,77.393,0.054,0.5778,10.7,,,,0.98,5.3
31/05/1978,,63.271,81.44,0.052,0.5356,10.3,,,,1.03,5.6
30/06/1978,,61.929,79.912,0.053,0.5194,9.8,,,,1,5.3
31/07/1978,,65.444,84.748,0.049,0.5047,10.3,,,,1.05,5.6
31/08/1978,,69.592,90.297,0.046,0.5152,11.2,,,,1.12,6.1
30/09/1978,,72.004,93.759,0.045,0.5175,11.5,,,,1.16,6.3
31/10/1978,,66.885,87.323,0.049,0.4998,10.2,,,,1.07,5.9
30/11/1978,,66.015,86.418,0.05,0.52,10.4,,,,1.03,5.8
31/12/1978,,69.053,90.639,0.048,0.5184,10.8,,,,1.03,6.1
31/01/1979,,72.569,95.492,0.045,0.486,10.8,,,,1.08,6.2
28/02/1979,,75.229,99.286,0.045,0.4725,10.5,,,,1.15,6.2
31/03/1979,,76.671,101.397,0.045,0.4725,10.5,,,,1.16,6.2
30/04/1979,,74.956,99.467,0.047,0.4747,10.1,,,,1.08,6
31/05/1979,,76.723,102.074,0.046,0.4508,9.8,,,,1.11,5.9
30/06/1979,,74.442,99.305,0.048,0.4512,9.4,,,,1.08,5.7
31/07/1979,,75.893,101.483,0.047,0.4324,9.2,,,,1.09,5.6
31/08/1979,,85.02,114.088,0.045,0.4455,9.9,,,,1.22,6
30/09/1979,,90.509,121.711,0.044,0.4444,10.1,,,,1.29,6.2
31/10/1979,,91.589,123.507,0.044,0.4444,10.1,,,,1.29,6.2
30/11/1979,,89.191,120.565,0.047,0.4559,9.7,,,,1.25,5.9
31/12/1979,,98.636,133.584,0.042,0.4452,10.6,,,,1.37,6.5
31/01/1980,,118.785,161.211,0.036,0.4464,12.4,,,,1.63,7.7
29/02/1980,,122.585,166.847,0.038,0.4484,11.8,,,,1.64,7.6
31/03/1980,,101.401,138.451,0.047,0.4465,9.5,,,,1.28,6
30/04/1980,,105.087,143.79,0.046,0.4232,9.2,,,,1.31,6.1
31/05/1980,,116.715,160.128,0.042,0.4284,10.2,,,,1.46,6.7
30/06/1980,,123.523,169.726,0.04,0.428,10.7,,,,1.54,7
31/07/1980,,123.782,170.576,0.04,0.444,11.1,,,,1.52,7.1
31/08/1980,,129.132,178.303,0.04,0.456,11.4,,,,1.59,7.3
30/09/1980,,135.777,187.958,0.036,0.4356,12.1,,,,1.82,7.9
31/10/1980,,144.216,200.131,0.034,0.4488,13.2,,,,1.88,8.4
30/11/1980,,140.937,195.808,0.036,0.4392,12.2,,,,1.71,8.2
31/12/1980,,137.513,191.588,0.036,0.4356,12.1,,,,1.67,8.1
31/01/1981,,124.012,173.139,0.042,0.4452,10.6,,,,1.46,7.1
28/02/1981,,119.924,167.791,0.043,0.4558,10.6,,,,1.42,6.9
31/03/1981,,130.9,183.607,0.039,0.4758,12.2,,,,1.54,7.6
30/04/1981,,130.998,184.225,0.039,0.4875,12.5,,,,1.51,7.7
31/05/1981,,131.028,184.62,0.04,0.496,12.4,,,,1.47,7.7
30/06/1981,,127.408,179.931,0.042,0.4914,11.7,,,,1.43,7.5
31/07/1981,,114.117,161.556,0.046,0.483,10.5,,,,1.28,6.7
31/08/1981,,113.417,161.041,0.043,0.4687,10.9,,,,1.26,6.8
30/09/1981,,103.079,146.847,0.047,0.4794,10.2,,,,1.1,6.1
31/10/1981,,97.113,138.625,0.052,0.4888,9.4,,,,1.01,5.8
30/11/1981,,104.797,150.073,0.049,0.4851,9.9,,,,1.05,6.2
31/12/1981,,105.031,150.906,0.049,0.4851,9.9,,,,1.04,6.2
31/01/1982,,96.162,138.598,0.053,0.4876,9.2,,,,0.95,5.7
28/02/1982,,87.101,125.926,0.054,0.5022,9.3,,,,0.85,5.5
31/03/1982,,81.878,118.741,0.059,0.5074,8.6,,,,0.79,5.2
30/04/1982,,90.925,132.284,0.053,0.5088,9.6,,,,0.87,5.8
31/05/1982,,90.377,131.891,0.053,0.5353,10.1,,,,0.85,5.7
30/06/1982,,84.479,123.706,0.056,0.532,9.5,,,,0.8,5.4
31/07/1982,,83.534,122.706,0.057,0.5472,9.6,,,,0.78,5.4
31/08/1982,,87.376,128.799,0.055,0.5775,10.5,,,,0.83,5.7
30/09/1982,,90.556,133.827,0.051,0.5661,11.1,,,,0.86,5.9
31/10/1982,,91.386,135.487,0.051,0.5712,11.2,,,,0.86,6
30/11/1982,,87.946,130.778,0.053,0.5777,10.9,,,,0.81,5.8
31/12/1982,,88.837,132.52,0.053,0.5883,11.1,,,,0.82,5.8
31/01/1983,,98.8,147.779,0.047,0.5781,12.3,,,,0.91,6.5
28/02/1983,,92.327,138.494,0.053,0.5989,11.3,,,,0.86,5.9
31/03/1983,,95.316,143.388,0.052,0.6032,11.6,,,,0.88,6.1
30/04/1983,,109.918,165.819,0.042,0.5754,13.7,,,,0.99,7.1
31/05/1983,,115.095,174.079,0.042,0.6132,14.6,,,,1.02,7.4
30/06/1983,,112.339,170.407,0.043,0.6235,14.5,,,,1,7.3
31/07/1983,,125.327,190.52,0.039,0.5772,14.8,,,,1.11,8.2
31/08/1983,,130.009,198.024,0.038,0.551,14.5,,,,1.15,8.2
30/09/1983,,132.512,202.224,0.039,0.5577,14.3,,,,1.18,8
31/10/1983,,127.726,195.493,0.041,0.5658,13.8,,,,1.13,7.7
30/11/1983,,139.185,213.509,0.038,0.5548,14.6,,,,1.21,8.3
31/12/1983,,144.806,222.472,0.036,0.5436,15.1,,,,1.26,8.7
31/01/1984,,140.91,217.082,0.038,0.5586,14.7,,,,1.21,8.4
29/02/1984,,133.321,205.807,0.041,0.5371,13.1,,,,1.15,7.6
31/03/1984,,137.861,213.37,0.04,0.472,11.8,,,,1.19,7
30/04/1984,,138.783,215.362,0.041,0.5207,12.7,,,,1.2,7.5
31/05/1984,,118.728,184.623,0.048,0.5136,10.7,,,,1.05,6.5
30/06/1984,,121.319,189.283,0.048,0.504,10.5,,,,1.06,6.4
31/07/1984,,125.617,196.539,0.046,0.483,10.5,,,,1.09,6.4
31/08/1984,,135.595,212.638,0.043,0.4816,11.2,,,,1.18,6.9
30/09/1984,,136.007,213.849,0.044,0.4664,10.6,,,,1.18,6.6
31/10/1984,,137.947,217.393,0.045,0.477,10.6,,,,1.18,6.5
30/11/1984,,137.084,216.663,0.045,0.459,10.2,,,,1.1,6.5
31/12/1984,,131.954,209.111,0.048,0.4704,9.8,,,,1.05,6.2
31/01/1985,,141.553,224.89,0.044,0.4708,10.7,,,0.5809096,1.12,6.7
28/02/1985,,144.488,230.149,0.043,0.4687,10.9,,,0.5614839,1.14,6.7
31/03/1985,,151.716,242.18,0.043,0.4687,10.9,,,0.5725363,1.18,6.7
30/04/1985,,162.134,259.431,0.041,0.4797,11.7,,,0.562003,1.24,7.2
31/05/1985,,161.933,259.8,0.041,0.4715,11.5,,,0.5449834,1.23,7.2
